route name,olon,olat,dlon,dlat,country_dep,country_arr
"Indonesia-South Korea, Tanjung Priok - Yeosu",106.8865,-6.104,127.7383,34.7541,Indonesia,South Korea
"Indonesia-Australia, Tanjung Priok - Sydney",106.8865,-6.104,151.2093,-33.8587,Indonesia,Australia
"Indonesia-Australia, Tanjung Priok - Melbourne",106.8865,-6.104,144.9633,-37.8141,Indonesia,Australia
"Indonesia-Australia, Tanjung Priok - Brisbane",106.8865,-6.104,153.1175,-27.3842,Indonesia,Australia
"Indonesia-Australia, Tanjung Priok - Fremantle",106.8865,-6.104,115.7481,-32.0525,Indonesia,Australia
"Indonesia-Australia, Tanjung Priok - Port Hedland",106.8865,-6.104,118.574,-20.32,Indonesia,Australia
"Indonesia-Australia, Tanjung Priok - Darwin",106.8865,-6.104,130.8456,-12.4634,Indonesia,Australia
"Indonesia-Australia, Tanjung Priok - Adelaide",106.8865,-6.104,138.5056,-34.8444,Indonesia,Australia
"Indonesia-Australia, Tanjung Priok - Newcastle",106.8865,-6.104,151.7817,-32.9267,Indonesia,Australia
"Indonesia-China, Tanjung Priok - Shanghai",106.8865,-6.104,121.489,31.4064,Indonesia,China
"Indonesia-China, Tanjung Priok - Ningbo-Zhoushan",106.8865,-6.104,121.8107,29.9346,Indonesia,China
"Indonesia-China, Tanjung Priok - Shenzhen",106.8865,-6.104,113.8979,22.5618,Indonesia,China
"Indonesia-China, Tanjung Priok - Guangzhou",106.8865,-6.104,113.5596,23.101,Indonesia,China
"Indonesia-China, Tanjung Priok - Qingdao",106.8865,-6.104,120.3203,36.1069,Indonesia,China
"Indonesia-China, Tanjung Priok - Tianjin",106.8865,-6.104,117.7339,38.9708,Indonesia,China
"Indonesia-China, Tanjung Priok - Dalian",106.8865,-6.104,121.6167,38.9333,Indonesia,China
"Indonesia-China, Tanjung Priok - Xiamen",106.8865,-6.104,118.0648,24.4458,Indonesia,China
"Indonesia-China, Tanjung Priok - Lianyungang",106.8865,-6.104,119.5292,34.7306,Indonesia,China
"Indonesia-China, Tanjung Priok - Yingkou",106.8865,-6.104,122.2352,40.671,Indonesia,China
"Indonesia-SAFR, Tanjung Priok - Durban",106.8865,-6.104,31.0218,-29.8719,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Priok - Cape Town",106.8865,-6.104,18.435,-33.918,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Priok - Port Elizabeth",106.8865,-6.104,25.6022,-33.917,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Priok - Richards Bay",106.8865,-6.104,32.0377,-28.783,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Priok - Mossel Bay",106.8865,-6.104,22.146,-34.1809,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Priok - East London",106.8865,-6.104,27.9116,-33.0176,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Priok - Ngqura",106.8865,-6.104,25.688,-33.795,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Priok - Port Nolloth",106.8865,-6.104,16.861,-29.2402,Indonesia,SAFR
"Indonesia-India, Tanjung Perak - Jawaharlal Nehru Port (JNPT)",112.7331,-7.197,72.9416,18.9633,Indonesia,India
"Indonesia-India, Tanjung Perak - Mundra Port",112.7331,-7.197,69.7079,22.7407,Indonesia,India
"Indonesia-India, Tanjung Perak - Deendayal (Kandla)",112.7331,-7.197,70.2167,23.0333,Indonesia,India
"Indonesia-India, Tanjung Perak - Mumbai Port",112.7331,-7.197,72.8371,18.9517,Indonesia,India
"Indonesia-India, Tanjung Perak - Chennai Port",112.7331,-7.197,80.2824,13.0837,Indonesia,India
"Indonesia-India, Tanjung Perak - Ennore (Kamarajar) Port",112.7331,-7.197,80.3395,13.2535,Indonesia,India
"Indonesia-India, Tanjung Perak - Visakhapatnam Port",112.7331,-7.197,83.2824,17.6902,Indonesia,India
"Indonesia-India, Tanjung Perak - Kolkata (Syama Prasad Mookerjee) Port",112.7331,-7.197,88.3121,22.5462,Indonesia,India
"Indonesia-India, Tanjung Perak - Paradip Port",112.7331,-7.197,86.6086,20.3167,Indonesia,India
"Indonesia-India, Tanjung Perak - Tuticorin (V.O.C.) Port",112.7331,-7.197,78.1346,8.7691,Indonesia,India
"Indonesia-Japan, Tanjung Perak - Yokohama",112.7331,-7.197,139.638,35.4536,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Tokyo",112.7331,-7.197,139.7639,35.6406,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Kobe",112.7331,-7.197,135.187,34.678,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Nagoya",112.7331,-7.197,136.8806,35.0885,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Osaka",112.7331,-7.197,135.409,34.6431,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Chiba",112.7331,-7.197,140.0895,35.5959,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Kitakyushu",112.7331,-7.197,130.8757,33.9056,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Shimizu",112.7331,-7.197,138.4885,35.0172,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Hiroshima",112.7331,-7.197,132.4645,34.3647,Indonesia,Japan
"Indonesia-Japan, Tanjung Perak - Kagoshima",112.7331,-7.197,130.5512,31.5368,Indonesia,Japan
"Indonesia-Russia, Tanjung Perak - Saint-Pétersbourg",112.7331,-7.197,30.3062,59.9339,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Novorossiysk",112.7331,-7.197,37.7682,44.7244,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Vladivostok",112.7331,-7.197,131.8747,43.1056,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Mourmansk",112.7331,-7.197,33.0744,68.9707,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Arkhangelsk",112.7331,-7.197,40.5433,64.5401,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Nakhodka",112.7331,-7.197,132.8667,42.7833,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Oust-Louga",112.7331,-7.197,28.3292,59.6731,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Primorsk",112.7331,-7.197,28.7389,60.3668,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Vostochny",112.7331,-7.197,133.0989,42.7278,Indonesia,Russia
"Indonesia-Russia, Tanjung Perak - Kaliningrad",112.7331,-7.197,20.5332,54.6981,Indonesia,Russia
"Indonesia-US, Tanjung Perak - Los Angeles",112.7331,-7.197,-118.276,33.7326,Indonesia,US
"Indonesia-US, Tanjung Perak - Long Beach",112.7331,-7.197,-118.2167,33.7542,Indonesia,US
"Indonesia-US, Tanjung Perak - New York & New Jersey",112.7331,-7.197,-74.0413,40.6681,Indonesia,US
"Indonesia-US, Tanjung Perak - Savannah",112.7331,-7.197,-81.0912,32.0809,Indonesia,US
"Indonesia-US, Tanjung Perak - Houston",112.7331,-7.197,-95.2633,29.739,Indonesia,US
"Indonesia-US, Tanjung Perak - Virginia (Norfolk Portsmouth)",112.7331,-7.197,-76.3111,36.8674,Indonesia,US
"Indonesia-US, Tanjung Perak - Oakland",112.7331,-7.197,-122.279,37.795,Indonesia,US
"Indonesia-US, Tanjung Perak - Charleston",112.7331,-7.197,-79.9256,32.7821,Indonesia,US
"Indonesia-US, Tanjung Perak - Seattle/Tacoma",112.7331,-7.197,-122.3408,47.6017,Indonesia,US
"Indonesia-US, Tanjung Perak - Miami",112.7331,-7.197,-80.1826,25.7781,Indonesia,US
"Indonesia-Vietnam, Tanjung Perak - Cat Lai (Saïgon/HCM)",112.7331,-7.197,106.7722,10.768,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Cai Mep–Thi Vai",112.7331,-7.197,107.03,10.52,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Hai Phong",112.7331,-7.197,106.6833,20.85,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Cam Pha",112.7331,-7.197,107.3,21.0167,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Da Nang",112.7331,-7.197,108.2333,16.0833,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Quy Nhon",112.7331,-7.197,109.2333,13.7667,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Nha Trang",112.7331,-7.197,109.1958,12.25,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Can Tho",112.7331,-7.197,105.7689,10.031,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Vung Tau",112.7331,-7.197,107.085,10.3531,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Perak - Phu My",112.7331,-7.197,107.0232,10.5087,Indonesia,Vietnam
"Indonesia-South Korea, Tanjung Perak - Busan",112.7331,-7.197,129.0403,35.1028,Indonesia,South Korea
"Indonesia-South Korea, Tanjung Perak - Gwangyang",112.7331,-7.197,127.7667,34.9167,Indonesia,South Korea
"Indonesia-South Korea, Tanjung Perak - Incheon",112.7331,-7.197,126.6166,37.4489,Indonesia,South Korea
"Indonesia-South Korea, Tanjung Perak - Mokpo",112.7331,-7.197,126.3886,34.7936,Indonesia,South Korea
"Indonesia-South Korea, Tanjung Perak - Ulsan",112.7331,-7.197,129.3722,35.5194,Indonesia,South Korea
"Indonesia-South Korea, Tanjung Perak - Yeosu",112.7331,-7.197,127.7383,34.7541,Indonesia,South Korea
"Indonesia-Australia, Tanjung Perak - Sydney",112.7331,-7.197,151.2093,-33.8587,Indonesia,Australia
"Indonesia-Australia, Tanjung Perak - Melbourne",112.7331,-7.197,144.9633,-37.8141,Indonesia,Australia
"Indonesia-Australia, Tanjung Perak - Brisbane",112.7331,-7.197,153.1175,-27.3842,Indonesia,Australia
"Indonesia-Australia, Tanjung Perak - Fremantle",112.7331,-7.197,115.7481,-32.0525,Indonesia,Australia
"Indonesia-Australia, Tanjung Perak - Port Hedland",112.7331,-7.197,118.574,-20.32,Indonesia,Australia
"Indonesia-Australia, Tanjung Perak - Darwin",112.7331,-7.197,130.8456,-12.4634,Indonesia,Australia
"Indonesia-Australia, Tanjung Perak - Adelaide",112.7331,-7.197,138.5056,-34.8444,Indonesia,Australia
"Indonesia-Australia, Tanjung Perak - Newcastle",112.7331,-7.197,151.7817,-32.9267,Indonesia,Australia
"Indonesia-China, Tanjung Perak - Shanghai",112.7331,-7.197,121.489,31.4064,Indonesia,China
"Indonesia-China, Tanjung Perak - Ningbo-Zhoushan",112.7331,-7.197,121.8107,29.9346,Indonesia,China
"Indonesia-China, Tanjung Perak - Shenzhen",112.7331,-7.197,113.8979,22.5618,Indonesia,China
"Indonesia-China, Tanjung Perak - Guangzhou",112.7331,-7.197,113.5596,23.101,Indonesia,China
"Indonesia-China, Tanjung Perak - Qingdao",112.7331,-7.197,120.3203,36.1069,Indonesia,China
"Indonesia-China, Tanjung Perak - Tianjin",112.7331,-7.197,117.7339,38.9708,Indonesia,China
"Indonesia-China, Tanjung Perak - Dalian",112.7331,-7.197,121.6167,38.9333,Indonesia,China
"Indonesia-China, Tanjung Perak - Xiamen",112.7331,-7.197,118.0648,24.4458,Indonesia,China
"Indonesia-China, Tanjung Perak - Lianyungang",112.7331,-7.197,119.5292,34.7306,Indonesia,China
"Indonesia-China, Tanjung Perak - Yingkou",112.7331,-7.197,122.2352,40.671,Indonesia,China
"Indonesia-SAFR, Tanjung Perak - Durban",112.7331,-7.197,31.0218,-29.8719,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Perak - Cape Town",112.7331,-7.197,18.435,-33.918,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Perak - Port Elizabeth",112.7331,-7.197,25.6022,-33.917,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Perak - Richards Bay",112.7331,-7.197,32.0377,-28.783,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Perak - Mossel Bay",112.7331,-7.197,22.146,-34.1809,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Perak - East London",112.7331,-7.197,27.9116,-33.0176,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Perak - Ngqura",112.7331,-7.197,25.688,-33.795,Indonesia,SAFR
"Indonesia-SAFR, Tanjung Perak - Port Nolloth",112.7331,-7.197,16.861,-29.2402,Indonesia,SAFR
"Indonesia-India, Belawan - Jawaharlal Nehru Port (JNPT)",98.6859,3.7769,72.9416,18.9633,Indonesia,India
"Indonesia-India, Belawan - Mundra Port",98.6859,3.7769,69.7079,22.7407,Indonesia,India
"Indonesia-India, Belawan - Deendayal (Kandla)",98.6859,3.7769,70.2167,23.0333,Indonesia,India
"Indonesia-India, Belawan - Mumbai Port",98.6859,3.7769,72.8371,18.9517,Indonesia,India
"Indonesia-India, Belawan - Chennai Port",98.6859,3.7769,80.2824,13.0837,Indonesia,India
"Indonesia-India, Belawan - Ennore (Kamarajar) Port",98.6859,3.7769,80.3395,13.2535,Indonesia,India
"Indonesia-India, Belawan - Visakhapatnam Port",98.6859,3.7769,83.2824,17.6902,Indonesia,India
"Indonesia-India, Belawan - Kolkata (Syama Prasad Mookerjee) Port",98.6859,3.7769,88.3121,22.5462,Indonesia,India
